"protein1","protein2","combined_score","from","to"
"9606.ENSP00000360290","9606.ENSP00000397133",984,"PRKAA2","PRKAG3"
"9606.ENSP00000366563","9606.ENSP00000262741",984,"PIK3CD","PIK3R3"
"9606.ENSP00000387699","9606.ENSP00000264867",984,"CREB1","PPARGC1A"
"9606.ENSP00000397133","9606.ENSP00000360290",984,"PRKAG3","PRKAA2"
"9606.ENSP00000219476","9606.ENSP00000263826",983,"TSC2","AKT3"
"9606.ENSP00000263826","9606.ENSP00000219476",983,"AKT3","TSC2"
"9606.ENSP00000360290","9606.ENSP00000483300",983,"PRKAA2","ACACA"
"9606.ENSP00000365016","9606.ENSP00000380432",983,"IRS2","INS"
"9606.ENSP00000380432","9606.ENSP00000365016",983,"INS","IRS2"
"9606.ENSP00000483300","9606.ENSP00000360290",983,"ACACA","PRKAA2"
"9606.ENSP00000221138","9606.ENSP00000335083",982,"PPP2CB","PPP2R2C"
"9606.ENSP00000225577","9606.ENSP00000451828",982,"RPS6KB1","AKT1"
"9606.ENSP00000287820","9606.ENSP00000320935",982,"PPARG","SLC2A4"
"9606.ENSP00000303830","9606.ENSP00000365016",982,"INSR","IRS2"
"9606.ENSP00000307272","9606.ENSP00000308413",982,"RPTOR","RPS6KB2"
"9606.ENSP00000308413","9606.ENSP00000307272",982,"RPS6KB2","RPTOR"
"9606.ENSP00000320935","9606.ENSP00000287820",982,"SLC2A4","PPARG"
"9606.ENSP00000335083","9606.ENSP00000221138",982,"PPP2R2C","PPP2CB"
"9606.ENSP00000365016","9606.ENSP00000303830",982,"IRS2","INSR"
"9606.ENSP00000451828","9606.ENSP00000225577",982,"AKT1","RPS6KB1"
"9606.ENSP00000225577","9606.ENSP00000418447",981,"RPS6KB1","PPP2CA"
"9606.ENSP00000340691","9606.ENSP00000375711",981,"EIF4EBP1","AKT1S1"
"9606.ENSP00000375711","9606.ENSP00000340691",981,"AKT1S1","EIF4EBP1"
"9606.ENSP00000418447","9606.ENSP00000225577",981,"PPP2CA","RPS6KB1"
"9606.ENSP00000219476","9606.ENSP00000375892",980,"TSC2","AKT2"
"9606.ENSP00000324856","9606.ENSP00000346148",980,"STK11","PRKAA1"
"9606.ENSP00000324856","9606.ENSP00000360290",980,"STK11","PRKAA2"
"9606.ENSP00000346148","9606.ENSP00000324856",980,"PRKAA1","STK11"
"9606.ENSP00000360290","9606.ENSP00000324856",980,"PRKAA2","STK11"
"9606.ENSP00000368880","9606.ENSP00000380432",980,"FOXO1","INS"
"9606.ENSP00000375892","9606.ENSP00000219476",980,"AKT2","TSC2"
"9606.ENSP00000380432","9606.ENSP00000368880",980,"INS","FOXO1"
"9606.ENSP00000264867","9606.ENSP00000380432",979,"PPARGC1A","INS"
"9606.ENSP00000354558","9606.ENSP00000375892",979,"MTOR","AKT2"
"9606.ENSP00000354558","9606.ENSP00000360290",979,"MTOR","PRKAA2"
"9606.ENSP00000360290","9606.ENSP00000354558",979,"PRKAA2","MTOR"
"9606.ENSP00000375892","9606.ENSP00000354558",979,"AKT2","MTOR"
"9606.ENSP00000380432","9606.ENSP00000264867",979,"INS","PPARGC1A"
"9606.ENSP00000164133","9606.ENSP00000451828",978,"PPP2R5B","AKT1"
"9606.ENSP00000225577","9606.ENSP00000263026",978,"RPS6KB1","EEF2K"
"9606.ENSP00000229328","9606.ENSP00000254101",978,"PRKAB1","PRKAB2"
"9606.ENSP00000254101","9606.ENSP00000229328",978,"PRKAB2","PRKAB1"
"9606.ENSP00000263026","9606.ENSP00000225577",978,"EEF2K","RPS6KB1"
"9606.ENSP00000312741","9606.ENSP00000323867",978,"CAMKK2","PRKAG1"
"9606.ENSP00000323867","9606.ENSP00000312741",978,"PRKAG1","CAMKK2"
"9606.ENSP00000346148","9606.ENSP00000354558",978,"PRKAA1","MTOR"
"9606.ENSP00000354558","9606.ENSP00000346148",978,"MTOR","PRKAA1"
"9606.ENSP00000451828","9606.ENSP00000164133",978,"AKT1","PPP2R5B"
"9606.ENSP00000263967","9606.ENSP00000344220",977,"PIK3CA","PDPK1"
"9606.ENSP00000344220","9606.ENSP00000263967",977,"PDPK1","PIK3CA"
"9606.ENSP00000221138","9606.ENSP00000418447",976,"PPP2CB","PPP2CA"
"9606.ENSP00000229328","9606.ENSP00000324856",976,"PRKAB1","STK11"
"9606.ENSP00000264977","9606.ENSP00000418447",976,"PPP2R3A","PPP2CA"
"9606.ENSP00000324856","9606.ENSP00000229328",976,"STK11","PRKAB1"
"9606.ENSP00000418447","9606.ENSP00000264977",976,"PPP2CA","PPP2R3A"
"9606.ENSP00000418447","9606.ENSP00000221138",976,"PPP2CA","PPP2CB"
"9606.ENSP00000222254","9606.ENSP00000428056",975,"PIK3R2","PIK3R1"
"9606.ENSP00000225577","9606.ENSP00000380432",975,"RPS6KB1","INS"
"9606.ENSP00000229328","9606.ENSP00000312741",975,"PRKAB1","CAMKK2"
"9606.ENSP00000262187","9606.ENSP00000375711",975,"RHEB","AKT1S1"
"9606.ENSP00000264867","9606.ENSP00000354558",975,"PPARGC1A","MTOR"
"9606.ENSP00000312741","9606.ENSP00000360290",975,"CAMKK2","PRKAA2"
"9606.ENSP00000312741","9606.ENSP00000229328",975,"CAMKK2","PRKAB1"
"9606.ENSP00000325074","9606.ENSP00000399970",975,"PPP2R2A","PPP2R2D"
"9606.ENSP00000345771","9606.ENSP00000370517",975,"PFKM","PFKP"
"9606.ENSP00000354558","9606.ENSP00000264867",975,"MTOR","PPARGC1A"
"9606.ENSP00000360290","9606.ENSP00000312741",975,"PRKAA2","CAMKK2"
"9606.ENSP00000370517","9606.ENSP00000345771",975,"PFKP","PFKM"
"9606.ENSP00000375711","9606.ENSP00000262187",975,"AKT1S1","RHEB"
"9606.ENSP00000380432","9606.ENSP00000225577",975,"INS","RPS6KB1"
"9606.ENSP00000399970","9606.ENSP00000325074",975,"PPP2R2D","PPP2R2A"
"9606.ENSP00000428056","9606.ENSP00000222254",975,"PIK3R1","PIK3R2"
"9606.ENSP00000164133","9606.ENSP00000311344",974,"PPP2R5B","PPP2R1B"
"9606.ENSP00000222254","9606.ENSP00000262741",974,"PIK3R2","PIK3R3"
"9606.ENSP00000262741","9606.ENSP00000222254",974,"PIK3R3","PIK3R2"
"9606.ENSP00000287878","9606.ENSP00000312741",974,"PRKAG2","CAMKK2"
"9606.ENSP00000307272","9606.ENSP00000346148",974,"RPTOR","PRKAA1"
"9606.ENSP00000307272","9606.ENSP00000360290",974,"RPTOR","PRKAA2"
"9606.ENSP00000307272","9606.ENSP00000375892",974,"RPTOR","AKT2"
"9606.ENSP00000311344","9606.ENSP00000164133",974,"PPP2R1B","PPP2R5B"
"9606.ENSP00000312741","9606.ENSP00000287878",974,"CAMKK2","PRKAG2"
"9606.ENSP00000346148","9606.ENSP00000307272",974,"PRKAA1","RPTOR"
"9606.ENSP00000360290","9606.ENSP00000307272",974,"PRKAA2","RPTOR"
"9606.ENSP00000375892","9606.ENSP00000451828",974,"AKT2","AKT1"
"9606.ENSP00000375892","9606.ENSP00000307272",974,"AKT2","RPTOR"
"9606.ENSP00000451828","9606.ENSP00000375892",974,"AKT1","AKT2"
"9606.ENSP00000232375","9606.ENSP00000443319",973,"PFKFB4","PFKFB3"
"9606.ENSP00000264867","9606.ENSP00000389814",973,"PPARGC1A","ADIPOQ"
"9606.ENSP00000312987","9606.ENSP00000368880",973,"HNF4A","FOXO1"
"9606.ENSP00000356047","9606.ENSP00000443319",973,"PFKFB2","PFKFB3"
"9606.ENSP00000368880","9606.ENSP00000312987",973,"FOXO1","HNF4A"
"9606.ENSP00000389814","9606.ENSP00000264867",973,"ADIPOQ","PPARGC1A"
"9606.ENSP00000443319","9606.ENSP00000356047",973,"PFKFB3","PFKFB2"
"9606.ENSP00000443319","9606.ENSP00000232375",973,"PFKFB3","PFKFB4"
"9606.ENSP00000227507","9606.ENSP00000368880",972,"CCND1","FOXO1"
"9606.ENSP00000264867","9606.ENSP00000265641",972,"PPARGC1A","CPT1A"
"9606.ENSP00000264867","9606.ENSP00000357622",972,"PPARGC1A","CRTC2"
"9606.ENSP00000265641","9606.ENSP00000264867",972,"CPT1A","PPARGC1A"
"9606.ENSP00000325074","9606.ENSP00000375080",972,"PPP2R2A","PPP2R3B"
"9606.ENSP00000357622","9606.ENSP00000264867",972,"CRTC2","PPARGC1A"
"9606.ENSP00000368880","9606.ENSP00000227507",972,"FOXO1","CCND1"
"9606.ENSP00000375080","9606.ENSP00000325074",972,"PPP2R3B","PPP2R2A"
"9606.ENSP00000375892","9606.ENSP00000380432",972,"AKT2","INS"
"9606.ENSP00000380432","9606.ENSP00000375892",972,"INS","AKT2"
"9606.ENSP00000225577","9606.ENSP00000302665",971,"RPS6KB1","IGF1"
"9606.ENSP00000268035","9606.ENSP00000303830",971,"IGF1R","INSR"
"9606.ENSP00000302665","9606.ENSP00000225577",971,"IGF1","RPS6KB1"
"9606.ENSP00000303830","9606.ENSP00000268035",971,"INSR","IGF1R"
"9606.ENSP00000341044","9606.ENSP00000348069",971,"ACACB","SREBF1"
"9606.ENSP00000344220","9606.ENSP00000375892",971,"PDPK1","AKT2"
"9606.ENSP00000348069","9606.ENSP00000341044",971,"SREBF1","ACACB"
"9606.ENSP00000375711","9606.ENSP00000375892",971,"AKT1S1","AKT2"
"9606.ENSP00000375892","9606.ENSP00000344220",971,"AKT2","PDPK1"
"9606.ENSP00000375892","9606.ENSP00000375711",971,"AKT2","AKT1S1"
"9606.ENSP00000254101","9606.ENSP00000312741",970,"PRKAB2","CAMKK2"
"9606.ENSP00000311344","9606.ENSP00000451828",970,"PPP2R1B","AKT1"
"9606.ENSP00000312741","9606.ENSP00000346148",970,"CAMKK2","PRKAA1"
"9606.ENSP00000312741","9606.ENSP00000254101",970,"CAMKK2","PRKAB2"
"9606.ENSP00000346148","9606.ENSP00000312741",970,"PRKAA1","CAMKK2"
"9606.ENSP00000399970","9606.ENSP00000417963",970,"PPP2R2D","PPP2R5D"
"9606.ENSP00000417963","9606.ENSP00000399970",970,"PPP2R5D","PPP2R2D"
"9606.ENSP00000451828","9606.ENSP00000311344",970,"AKT1","PPP2R1B"
"9606.ENSP00000219476","9606.ENSP00000229328",969,"TSC2","PRKAB1"
"9606.ENSP00000229328","9606.ENSP00000219476",969,"PRKAB1","TSC2"
"9606.ENSP00000264867","9606.ENSP00000360290",969,"PPARGC1A","PRKAA2"
"9606.ENSP00000348069","9606.ENSP00000368880",969,"SREBF1","FOXO1"
"9606.ENSP00000360290","9606.ENSP00000264867",969,"PRKAA2","PPARGC1A"
"9606.ENSP00000368880","9606.ENSP00000375892",969,"FOXO1","AKT2"
"9606.ENSP00000368880","9606.ENSP00000348069",969,"FOXO1","SREBF1"
"9606.ENSP00000375892","9606.ENSP00000368880",969,"AKT2","FOXO1"
"9606.ENSP00000254101","9606.ENSP00000324856",968,"PRKAB2","STK11"
"9606.ENSP00000264867","9606.ENSP00000312652",968,"PPARGC1A","LEP"
"9606.ENSP00000264867","9606.ENSP00000319814",968,"PPARGC1A","PCK1"
"9606.ENSP00000312652","9606.ENSP00000264867",968,"LEP","PPARGC1A"
"9606.ENSP00000319814","9606.ENSP00000264867",968,"PCK1","PPARGC1A"
"9606.ENSP00000324856","9606.ENSP00000254101",968,"STK11","PRKAB2"
"9606.ENSP00000287878","9606.ENSP00000323867",967,"PRKAG2","PRKAG1"
"9606.ENSP00000319814","9606.ENSP00000368880",967,"PCK1","FOXO1"
"9606.ENSP00000323867","9606.ENSP00000287878",967,"PRKAG1","PRKAG2"
"9606.ENSP00000368880","9606.ENSP00000319814",967,"FOXO1","PCK1"
"9606.ENSP00000380432","9606.ENSP00000385824",967,"INS","FOXO3"
"9606.ENSP00000385824","9606.ENSP00000380432",967,"FOXO3","INS"
"9606.ENSP00000261461","9606.ENSP00000451828",966,"PPP2R5A","AKT1"
"9606.ENSP00000263826","9606.ENSP00000354558",966,"AKT3","MTOR"
"9606.ENSP00000263826","9606.ENSP00000375711",966,"AKT3","AKT1S1"
"9606.ENSP00000263967","9606.ENSP00000380432",966,"PIK3CA","INS"
"9606.ENSP00000289153","9606.ENSP00000365016",966,"PIK3CB","IRS2"
"9606.ENSP00000354558","9606.ENSP00000263826",966,"MTOR","AKT3"
"9606.ENSP00000365016","9606.ENSP00000289153",966,"IRS2","PIK3CB"
"9606.ENSP00000375711","9606.ENSP00000263826",966,"AKT1S1","AKT3"
"9606.ENSP00000380432","9606.ENSP00000263967",966,"INS","PIK3CA"
"9606.ENSP00000451828","9606.ENSP00000261461",966,"AKT1","PPP2R5A"
"9606.ENSP00000225577","9606.ENSP00000325074",965,"RPS6KB1","PPP2R2A"
"9606.ENSP00000287878","9606.ENSP00000324856",965,"PRKAG2","STK11"
"9606.ENSP00000324856","9606.ENSP00000287878",965,"STK11","PRKAG2"
"9606.ENSP00000325074","9606.ENSP00000417963",965,"PPP2R2A","PPP2R5D"
"9606.ENSP00000325074","9606.ENSP00000225577",965,"PPP2R2A","RPS6KB1"
"9606.ENSP00000354558","9606.ENSP00000428056",965,"MTOR","PIK3R1"
"9606.ENSP00000417963","9606.ENSP00000325074",965,"PPP2R5D","PPP2R2A"
"9606.ENSP00000428056","9606.ENSP00000354558",965,"PIK3R1","MTOR"
"9606.ENSP00000221138","9606.ENSP00000375080",964,"PPP2CB","PPP2R3B"
"9606.ENSP00000298552","9606.ENSP00000375892",964,"TSC1","AKT2"
"9606.ENSP00000375080","9606.ENSP00000221138",964,"PPP2R3B","PPP2CB"
"9606.ENSP00000375892","9606.ENSP00000298552",964,"AKT2","TSC1"
"9606.ENSP00000324856","9606.ENSP00000385824",963,"STK11","FOXO3"
"9606.ENSP00000344220","9606.ENSP00000428056",963,"PDPK1","PIK3R1"
"9606.ENSP00000345771","9606.ENSP00000443319",963,"PFKM","PFKFB3"
"9606.ENSP00000385824","9606.ENSP00000324856",963,"FOXO3","STK11"
"9606.ENSP00000428056","9606.ENSP00000344220",963,"PIK3R1","PDPK1"
"9606.ENSP00000443319","9606.ENSP00000345771",963,"PFKFB3","PFKM"
"9606.ENSP00000227507","9606.ENSP00000385824",962,"CCND1","FOXO3"
"9606.ENSP00000380432","9606.ENSP00000428056",962,"INS","PIK3R1"
"9606.ENSP00000385824","9606.ENSP00000227507",962,"FOXO3","CCND1"
"9606.ENSP00000428056","9606.ENSP00000380432",962,"PIK3R1","INS"
"9606.ENSP00000287820","9606.ENSP00000354558",961,"PPARG","MTOR"
"9606.ENSP00000287820","9606.ENSP00000319814",961,"PPARG","PCK1"
"9606.ENSP00000287820","9606.ENSP00000399421",961,"PPARG","CD36"
"9606.ENSP00000312741","9606.ENSP00000397133",961,"CAMKK2","PRKAG3"
"9606.ENSP00000319814","9606.ENSP00000287820",961,"PCK1","PPARG"
"9606.ENSP00000354558","9606.ENSP00000287820",961,"MTOR","PPARG"
"9606.ENSP00000397133","9606.ENSP00000312741",961,"PRKAG3","CAMKK2"
"9606.ENSP00000399421","9606.ENSP00000287820",961,"CD36","PPARG"
"9606.ENSP00000003084","9606.ENSP00000346148",960,"CFTR","PRKAA1"
"9606.ENSP00000164133","9606.ENSP00000221138",960,"PPP2R5B","PPP2CB"
"9606.ENSP00000221138","9606.ENSP00000164133",960,"PPP2CB","PPP2R5B"
"9606.ENSP00000304895","9606.ENSP00000451828",960,"IRS1","AKT1"
"9606.ENSP00000346148","9606.ENSP00000003084",960,"PRKAA1","CFTR"
"9606.ENSP00000348069","9606.ENSP00000354558",960,"SREBF1","MTOR"
"9606.ENSP00000354558","9606.ENSP00000348069",960,"MTOR","SREBF1"
"9606.ENSP00000451828","9606.ENSP00000304895",960,"AKT1","IRS1"
"9606.ENSP00000225577","9606.ENSP00000428056",959,"RPS6KB1","PIK3R1"
"9606.ENSP00000227507","9606.ENSP00000387699",959,"CCND1","CREB1"
"9606.ENSP00000263826","9606.ENSP00000344220",959,"AKT3","PDPK1"
"9606.ENSP00000323867","9606.ENSP00000324856",959,"PRKAG1","STK11"
"9606.ENSP00000323867","9606.ENSP00000354558",959,"PRKAG1","MTOR"
"9606.ENSP00000324856","9606.ENSP00000323867",959,"STK11","PRKAG1"
"9606.ENSP00000344220","9606.ENSP00000263826",959,"PDPK1","AKT3"
"9606.ENSP00000354558","9606.ENSP00000323867",959,"MTOR","PRKAG1"
"9606.ENSP00000387699","9606.ENSP00000227507",959,"CREB1","CCND1"
"9606.ENSP00000428056","9606.ENSP00000225577",959,"PIK3R1","RPS6KB1"
"9606.ENSP00000263967","9606.ENSP00000303830",958,"PIK3CA","INSR"
"9606.ENSP00000269848","9606.ENSP00000370517",958,"PFKL","PFKP"
"9606.ENSP00000303830","9606.ENSP00000263967",958,"INSR","PIK3CA"
"9606.ENSP00000370517","9606.ENSP00000269848",958,"PFKP","PFKL"
"9606.ENSP00000262187","9606.ENSP00000360290",957,"RHEB","PRKAA2"
"9606.ENSP00000263967","9606.ENSP00000354558",957,"PIK3CA","MTOR"
"9606.ENSP00000307272","9606.ENSP00000348069",957,"RPTOR","SREBF1"
"9606.ENSP00000348069","9606.ENSP00000307272",957,"SREBF1","RPTOR"
"9606.ENSP00000354558","9606.ENSP00000263967",957,"MTOR","PIK3CA"
"9606.ENSP00000360290","9606.ENSP00000262187",957,"PRKAA2","RHEB"
"9606.ENSP00000412324","9606.ENSP00000451828",957,"PPP2R5C","AKT1"
"9606.ENSP00000451828","9606.ENSP00000412324",957,"AKT1","PPP2R5C"
"9606.ENSP00000194530","9606.ENSP00000479669",956,"STRADB","CAB39L"
"9606.ENSP00000479669","9606.ENSP00000194530",956,"CAB39L","STRADB"
"9606.ENSP00000222254","9606.ENSP00000365016",955,"PIK3R2","IRS2"
"9606.ENSP00000263826","9606.ENSP00000368880",955,"AKT3","FOXO1"
"9606.ENSP00000264867","9606.ENSP00000307272",955,"PPARGC1A","RPTOR"
"9606.ENSP00000307272","9606.ENSP00000264867",955,"RPTOR","PPARGC1A"
"9606.ENSP00000365016","9606.ENSP00000222254",955,"IRS2","PIK3R2"
"9606.ENSP00000368880","9606.ENSP00000263826",955,"FOXO1","AKT3"
"9606.ENSP00000219476","9606.ENSP00000360290",954,"TSC2","PRKAA2"
"9606.ENSP00000219476","9606.ENSP00000225577",954,"TSC2","RPS6KB1"
"9606.ENSP00000225577","9606.ENSP00000219476",954,"RPS6KB1","TSC2"
"9606.ENSP00000229328","9606.ENSP00000483300",954,"PRKAB1","ACACA"
"9606.ENSP00000261461","9606.ENSP00000399970",954,"PPP2R5A","PPP2R2D"
"9606.ENSP00000323867","9606.ENSP00000483300",954,"PRKAG1","ACACA"
"9606.ENSP00000340691","9606.ENSP00000418447",954,"EIF4EBP1","PPP2CA"
"9606.ENSP00000344220","9606.ENSP00000380432",954,"PDPK1","INS"
"9606.ENSP00000360290","9606.ENSP00000219476",954,"PRKAA2","TSC2"
"9606.ENSP00000380432","9606.ENSP00000344220",954,"INS","PDPK1"
"9606.ENSP00000399970","9606.ENSP00000261461",954,"PPP2R2D","PPP2R5A"
"9606.ENSP00000418447","9606.ENSP00000340691",954,"PPP2CA","EIF4EBP1"
"9606.ENSP00000483300","9606.ENSP00000323867",954,"ACACA","PRKAG1"
"9606.ENSP00000483300","9606.ENSP00000229328",954,"ACACA","PRKAB1"
"9606.ENSP00000229328","9606.ENSP00000307272",953,"PRKAB1","RPTOR"
"9606.ENSP00000229328","9606.ENSP00000354558",953,"PRKAB1","MTOR"
"9606.ENSP00000264977","9606.ENSP00000325074",953,"PPP2R3A","PPP2R2A"
"9606.ENSP00000307272","9606.ENSP00000229328",953,"RPTOR","PRKAB1"
"9606.ENSP00000325074","9606.ENSP00000264977",953,"PPP2R2A","PPP2R3A"
"9606.ENSP00000337641","9606.ENSP00000451828",953,"PPP2R5E","AKT1"
"9606.ENSP00000354558","9606.ENSP00000229328",953,"MTOR","PRKAB1"
"9606.ENSP00000417963","9606.ENSP00000451828",953,"PPP2R5D","AKT1"
"9606.ENSP00000451828","9606.ENSP00000417963",953,"AKT1","PPP2R5D"
"9606.ENSP00000451828","9606.ENSP00000337641",953,"AKT1","PPP2R5E"
"9606.ENSP00000324856","9606.ENSP00000397133",952,"STK11","PRKAG3"
"9606.ENSP00000397133","9606.ENSP00000324856",952,"PRKAG3","STK11"
"9606.ENSP00000258418","9606.ENSP00000346148",951,"CAB39","PRKAA1"
"9606.ENSP00000289153","9606.ENSP00000375892",951,"PIK3CB","AKT2"
"9606.ENSP00000346148","9606.ENSP00000258418",951,"PRKAA1","CAB39"
"9606.ENSP00000375892","9606.ENSP00000289153",951,"AKT2","PIK3CB"
"9606.ENSP00000219476","9606.ENSP00000254101",950,"TSC2","PRKAB2"
"9606.ENSP00000254101","9606.ENSP00000219476",950,"PRKAB2","TSC2"
"9606.ENSP00000263967","9606.ENSP00000302665",950,"PIK3CA","IGF1"
"9606.ENSP00000302665","9606.ENSP00000263967",950,"IGF1","PIK3CA"
"9606.ENSP00000345771","9606.ENSP00000408025",950,"PFKM","FBP1"
"9606.ENSP00000345771","9606.ENSP00000364486",950,"PFKM","FBP2"
"9606.ENSP00000364486","9606.ENSP00000345771",950,"FBP2","PFKM"
"9606.ENSP00000408025","9606.ENSP00000345771",950,"FBP1","PFKM"
"9606.ENSP00000261439","9606.ENSP00000362946",949,"TBC1D1","RAB14"
"9606.ENSP00000261461","9606.ENSP00000412324",949,"PPP2R5A","PPP2R5C"
"9606.ENSP00000302665","9606.ENSP00000428056",949,"IGF1","PIK3R1"
"9606.ENSP00000335083","9606.ENSP00000412324",949,"PPP2R2C","PPP2R5C"
"9606.ENSP00000362946","9606.ENSP00000261439",949,"RAB14","TBC1D1"
"9606.ENSP00000364486","9606.ENSP00000408025",949,"FBP2","FBP1"
"9606.ENSP00000408025","9606.ENSP00000364486",949,"FBP1","FBP2"
"9606.ENSP00000412324","9606.ENSP00000261461",949,"PPP2R5C","PPP2R5A"
"9606.ENSP00000412324","9606.ENSP00000335083",949,"PPP2R5C","PPP2R2C"
"9606.ENSP00000428056","9606.ENSP00000302665",949,"PIK3R1","IGF1"
"9606.ENSP00000262187","9606.ENSP00000346148",948,"RHEB","PRKAA1"
"9606.ENSP00000262187","9606.ENSP00000287878",948,"RHEB","PRKAG2"
"9606.ENSP00000264710","9606.ENSP00000320935",948,"RAB10","SLC2A4"
"9606.ENSP00000264867","9606.ENSP00000399421",948,"PPARGC1A","CD36"
"9606.ENSP00000265641","9606.ENSP00000341044",948,"CPT1A","ACACB"
"9606.ENSP00000269848","9606.ENSP00000364486",948,"PFKL","FBP2"
"9606.ENSP00000269848","9606.ENSP00000451828",948,"PFKL","AKT1"
"9606.ENSP00000287878","9606.ENSP00000262187",948,"PRKAG2","RHEB"
"9606.ENSP00000312652","9606.ENSP00000360290",948,"LEP","PRKAA2"
"9606.ENSP00000320935","9606.ENSP00000264710",948,"SLC2A4","RAB10"
"9606.ENSP00000341044","9606.ENSP00000265641",948,"ACACB","CPT1A"
"9606.ENSP00000346148","9606.ENSP00000262187",948,"PRKAA1","RHEB"
"9606.ENSP00000360290","9606.ENSP00000312652",948,"PRKAA2","LEP"
"9606.ENSP00000364486","9606.ENSP00000269848",948,"FBP2","PFKL"
"9606.ENSP00000399421","9606.ENSP00000264867",948,"CD36","PPARGC1A"
"9606.ENSP00000451828","9606.ENSP00000269848",948,"AKT1","PFKL"
"9606.ENSP00000262741","9606.ENSP00000365016",947,"PIK3R3","IRS2"
"9606.ENSP00000365016","9606.ENSP00000262741",947,"IRS2","PIK3R3"
"9606.ENSP00000375892","9606.ENSP00000418447",947,"AKT2","PPP2CA"
"9606.ENSP00000418447","9606.ENSP00000375892",947,"PPP2CA","AKT2"
"9606.ENSP00000229328","9606.ENSP00000258418",946,"PRKAB1","CAB39"
"9606.ENSP00000258418","9606.ENSP00000229328",946,"CAB39","PRKAB1"
"9606.ENSP00000261439","9606.ENSP00000264710",946,"TBC1D1","RAB10"
"9606.ENSP00000264710","9606.ENSP00000261439",946,"RAB10","TBC1D1"
"9606.ENSP00000354558","9606.ENSP00000418447",946,"MTOR","PPP2CA"
"9606.ENSP00000418447","9606.ENSP00000354558",946,"PPP2CA","MTOR"
"9606.ENSP00000164133","9606.ENSP00000375892",945,"PPP2R5B","AKT2"
"9606.ENSP00000219476","9606.ENSP00000287878",945,"TSC2","PRKAG2"
"9606.ENSP00000229328","9606.ENSP00000336655",945,"PRKAB1","STRADA"
"9606.ENSP00000261439","9606.ENSP00000300935",945,"TBC1D1","RAB8A"
"9606.ENSP00000287878","9606.ENSP00000219476",945,"PRKAG2","TSC2"
"9606.ENSP00000300935","9606.ENSP00000261439",945,"RAB8A","TBC1D1"
"9606.ENSP00000308413","9606.ENSP00000344220",945,"RPS6KB2","PDPK1"
"9606.ENSP00000336655","9606.ENSP00000229328",945,"STRADA","PRKAB1"
"9606.ENSP00000344220","9606.ENSP00000308413",945,"PDPK1","RPS6KB2"
"9606.ENSP00000375892","9606.ENSP00000164133",945,"AKT2","PPP2R5B"
"9606.ENSP00000164133","9606.ENSP00000263826",944,"PPP2R5B","AKT3"
"9606.ENSP00000261461","9606.ENSP00000375892",944,"PPP2R5A","AKT2"
"9606.ENSP00000261461","9606.ENSP00000263826",944,"PPP2R5A","AKT3"
"9606.ENSP00000263826","9606.ENSP00000418447",944,"AKT3","PPP2CA"
"9606.ENSP00000263826","9606.ENSP00000417963",944,"AKT3","PPP2R5D"
"9606.ENSP00000263826","9606.ENSP00000164133",944,"AKT3","PPP2R5B"
"9606.ENSP00000263826","9606.ENSP00000261461",944,"AKT3","PPP2R5A"
"9606.ENSP00000269848","9606.ENSP00000408025",944,"PFKL","FBP1"
"9606.ENSP00000304895","9606.ENSP00000365016",944,"IRS1","IRS2"
"9606.ENSP00000345771","9606.ENSP00000451828",944,"PFKM","AKT1"
"9606.ENSP00000364486","9606.ENSP00000370517",944,"FBP2","PFKP"
"9606.ENSP00000365016","9606.ENSP00000304895",944,"IRS2","IRS1"
"9606.ENSP00000370517","9606.ENSP00000408025",944,"PFKP","FBP1"
"9606.ENSP00000370517","9606.ENSP00000364486",944,"PFKP","FBP2"
"9606.ENSP00000375892","9606.ENSP00000387699",944,"AKT2","CREB1"
"9606.ENSP00000375892","9606.ENSP00000261461",944,"AKT2","PPP2R5A"
"9606.ENSP00000387699","9606.ENSP00000375892",944,"CREB1","AKT2"
"9606.ENSP00000408025","9606.ENSP00000269848",944,"FBP1","PFKL"
"9606.ENSP00000408025","9606.ENSP00000370517",944,"FBP1","PFKP"
"9606.ENSP00000417963","9606.ENSP00000263826",944,"PPP2R5D","AKT3"
"9606.ENSP00000418447","9606.ENSP00000263826",944,"PPP2CA","AKT3"
"9606.ENSP00000451828","9606.ENSP00000345771",944,"AKT1","PFKM"
"9606.ENSP00000225577","9606.ENSP00000268035",943,"RPS6KB1","IGF1R"
"9606.ENSP00000263826","9606.ENSP00000412324",943,"AKT3","PPP2R5C"
"9606.ENSP00000268035","9606.ENSP00000225577",943,"IGF1R","RPS6KB1"
"9606.ENSP00000289153","9606.ENSP00000344220",943,"PIK3CB","PDPK1"
"9606.ENSP00000298552","9606.ENSP00000360290",943,"TSC1","PRKAA2"
"9606.ENSP00000319814","9606.ENSP00000385824",943,"PCK1","FOXO3"
"9606.ENSP00000344220","9606.ENSP00000289153",943,"PDPK1","PIK3CB"
"9606.ENSP00000360290","9606.ENSP00000298552",943,"PRKAA2","TSC1"
"9606.ENSP00000385824","9606.ENSP00000319814",943,"FOXO3","PCK1"
"9606.ENSP00000412324","9606.ENSP00000263826",943,"PPP2R5C","AKT3"
"9606.ENSP00000254101","9606.ENSP00000336655",942,"PRKAB2","STRADA"
"9606.ENSP00000303830","9606.ENSP00000451828",942,"INSR","AKT1"
"9606.ENSP00000304895","9606.ENSP00000366563",942,"IRS1","PIK3CD"
